,debt,color,stocks,restaurant,portfolio,inflation,housing,dow_jones,revenue,economics,credit,markets,return,unemployment,money,religion,cancer,growth,investment,hedge,marriage,bonds,derivatives,headlines,profit,society,leverage,loss,cash,office,fine,stock_market,banking,crisis,happy,car,nasdaq,gains,finance,sell,invest,fed,house,metals,travel,returns,gain,default,present,holiday,water,rich,risk,gold,success,oil,war,economy,chance,lifestyle,greed,food,movie,nyse,ore,opportunity,health,earnings,arts,culture,bubble,buy,trader,tourism,politics,energy,consume,consumption,freedom,dividend,world,conflict,kitchen,forex,home,transaction,garden,fond,train,labor,fun,environment,ring,lag_1,Target
0,0.04,-0.04,0.0,0.06,-0.05,0.1,-0.01,0.0,0.16,0.06,-0.02,-0.04,-0.05,0.0,0.02,0.03,0.03,-0.02,0.05,-0.07,-0.04,-0.08,0.02,0.0,0.08,-0.02,0.03,-0.08,-0.04,0.04,-0.02,0.0,0.0,0.04,-0.01,-0.05,-0.01,0.09,0.01,-0.02,-0.01,-0.01,-0.04,0.15,-0.02,0.07,-0.02,0.04,0.22,-0.01,0.02,0.01,0.04,0.0,-0.07,-0.01,-0.01,0.05,0.0,-0.02,0.24,-0.03,-0.03,-0.02,0.01,0.63,0.01,0.09,-0.09,0.08,0.02,-0.02,0.08,0.02,0.06,0.01,0.1,0.0,0.06,-0.04,-0.01,-0.12,-0.03,-0.07,0.0,0.28,0.01,-0.17,0.01,0.0,0.09,0.12,-0.06,0,0
1,-0.02,-0.02,-0.06,-0.05,-0.12,-0.21,-0.06,0.0,0.1,0.06,-0.02,0.0,-0.03,-0.01,-0.05,0.06,-0.02,-0.13,-0.14,0.0,0.02,-0.02,-0.01,0.03,0.13,0.0,0.07,0.0,-0.02,-0.04,-0.02,-0.01,-0.03,-0.01,-0.01,-0.05,-0.07,-0.04,-0.02,-0.11,-0.02,0.0,0.01,0.05,-0.08,0.05,-0.06,0.03,-0.09,-0.02,-0.01,0.01,-0.03,-0.03,0.02,-0.02,-0.03,0.08,0.01,0.02,-0.15,-0.06,-0.07,-0.06,0.01,0.14,-0.03,-0.1,-0.06,0.05,-0.04,-0.03,-0.09,-0.1,0.05,0.01,-0.19,-0.03,-0.07,0.04,-0.02,0.11,-0.03,-0.2,-0.04,0.13,0.01,0.15,-0.02,0.0,0.07,-0.04,-0.08,0,1
2,-0.02,0.02,-0.06,0.22,-0.1,0.2,-0.02,0.0,0.15,0.0,-0.03,-0.1,-0.01,0.0,0.02,0.1,-0.01,-0.01,0.03,-0.01,0.04,0.03,-0.09,0.0,0.02,0.04,-0.04,-0.06,-0.01,-0.01,0.13,0.01,0.0,0.07,0.0,0.01,-0.09,0.1,0.0,-0.05,0.02,0.04,-0.01,-0.11,-0.05,0.03,-0.03,0.04,0.0,0.01,0.01,-0.02,0.06,-0.02,0.04,0.0,0.06,0.09,0.01,0.02,-0.22,0.02,-0.06,0.06,0.07,0.06,0.01,-0.11,-0.02,0.09,-0.08,0.0,-0.11,0.14,0.01,-0.02,0.16,-0.06,0.01,0.01,0.0,0.01,-0.08,-0.08,-0.07,0.07,0.02,0.03,0.03,0.01,0.04,0.1,0.01,1,1
3,-0.01,0.03,-0.01,-0.06,-0.08,0.13,0.04,-0.01,0.0,0.06,-0.01,0.05,-0.05,0.0,0.03,0.11,-0.05,0.02,-0.03,0.01,0.11,0.01,0.1,-0.04,0.07,0.02,0.05,0.06,0.02,-0.08,0.06,-0.01,0.0,0.07,0.01,0.02,-0.08,0.05,0.01,0.04,-0.04,-0.06,0.02,-0.13,-0.03,-0.02,-0.01,-0.01,0.0,0.02,0.02,-0.01,-0.05,-0.02,0.0,0.01,0.05,0.04,0.01,0.06,-0.38,-0.02,0.01,-0.03,-0.01,-0.58,-0.01,-0.08,-0.02,0.02,-0.07,-0.01,0.11,0.05,0.02,-0.02,0.12,0.09,0.0,-0.02,-0.01,0.04,0.01,-0.05,-0.02,-0.24,0.09,0.15,0.03,0.0,-0.01,-0.07,-0.03,1,0
4,0.0,0.03,0.0,-0.04,-0.01,0.2,0.08,-0.01,-0.04,0.01,0.01,0.09,-0.03,0.0,0.06,0.25,0.04,0.07,-0.02,-0.02,0.19,0.02,0.32,-0.03,-0.08,0.04,-0.05,0.01,0.0,-0.01,0.0,0.01,0.01,0.06,0.0,0.05,-0.05,-0.03,-0.02,0.02,0.05,0.05,-0.01,-0.13,0.07,-0.03,-0.01,0.0,0.08,0.0,0.02,0.03,0.01,0.03,0.01,0.03,0.06,0.03,0.01,-0.01,0.26,0.07,0.08,0.0,-0.02,-0.05,0.0,0.04,0.0,0.06,0.04,0.03,0.02,0.15,-0.01,0.02,0.16,-0.08,0.08,-0.1,0.02,0.03,0.06,0.13,0.02,-0.15,0.04,-0.01,0.0,-0.01,-0.02,0.09,-0.06,0,0
5,0.02,-0.01,0.0,-0.28,-0.01,-0.04,0.05,0.0,-0.06,0.01,0.03,0.11,0.03,-0.01,0.02,0.05,0.02,0.11,0.07,0.0,0.1,0.06,0.01,0.0,0.0,0.03,0.02,0.08,0.01,0.05,-0.1,0.0,-0.02,-0.03,-0.02,0.01,0.0,-0.1,0.01,-0.01,0.06,0.04,-0.01,-0.18,0.01,0.02,0.06,-0.06,-0.02,-0.01,0.02,0.03,0.03,-0.01,0.07,0.01,0.02,0.07,0.01,-0.04,0.26,0.03,0.03,-0.11,0.01,-0.01,-0.03,0.06,-0.01,0.04,0.08,-0.02,0.06,-0.08,0.0,0.0,0.11,-0.05,-0.13,0.0,0.0,0.19,0.02,-0.04,0.02,0.0,0.06,0.32,0.0,0.0,-0.08,-0.06,-0.06,0,1
6,-0.05,0.03,-0.01,0.07,0.0,-0.21,0.0,0.01,-0.03,-0.1,0.01,0.04,0.06,-0.01,0.01,0.16,-0.01,-0.11,0.06,0.1,-0.06,0.03,-0.07,-0.01,0.0,-0.01,-0.1,0.02,-0.02,-0.05,-0.01,0.02,0.04,-0.06,0.0,0.04,0.08,-0.36,0.03,0.05,0.04,0.0,0.06,-0.09,0.0,-0.02,0.01,0.02,-0.08,-0.01,-0.02,0.01,-0.05,0.01,0.05,0.01,-0.01,0.01,-0.02,0.0,0.04,0.05,0.01,-0.02,0.12,-0.1,-0.01,-0.06,0.05,-0.05,0.09,-0.01,0.02,-0.09,-0.05,-0.01,0.52,-0.01,0.05,-0.02,0.0,0.02,-0.02,0.14,-0.01,0.01,0.1,0.02,-0.01,-0.01,0.08,-0.08,-0.12,1,0
7,-0.05,-0.02,-0.05,-0.03,0.03,-0.09,0.0,0.01,0.0,-0.04,0.0,-0.06,0.0,0.0,-0.03,-0.21,-0.03,0.04,0.0,0.01,-0.15,-0.06,-0.2,0.02,0.04,-0.08,-0.04,0.0,0.01,-0.04,0.08,-0.01,0.01,0.0,0.01,0.02,0.04,0.04,0.02,0.05,-0.02,0.04,0.03,0.0,-0.05,0.05,0.0,0.0,0.09,0.0,0.02,-0.01,-0.01,0.0,0.01,-0.03,0.01,-0.08,-0.01,-0.02,-0.31,-0.02,-0.06,-0.05,-0.02,-0.19,-0.03,-0.06,0.0,-0.08,0.0,-0.04,0.04,-0.01,-0.01,-0.04,-0.07,0.05,-0.05,-0.03,0.0,-0.08,-0.05,-0.09,0.0,-0.05,0.09,-0.13,0.02,0.0,0.01,-0.02,-0.02,0,0
8,-0.01,-0.02,-0.02,0.01,0.09,-0.05,0.04,-0.01,0.02,-0.21,-0.04,0.03,-0.05,-0.01,0.01,-0.08,-0.09,-0.2,-0.06,-0.02,-0.13,-0.12,0.09,0.07,0.05,-0.06,0.1,-0.05,-0.01,-0.14,0.01,-0.01,-0.03,0.11,0.0,0.04,0.24,0.04,-0.05,0.03,0.02,-0.02,0.04,0.08,-0.05,-0.03,-0.04,-0.04,-0.07,0.0,-0.01,0.02,-0.09,0.01,-0.14,-0.02,-0.05,-0.07,0.0,-0.01,0.2,-0.05,0.04,0.0,0.15,-0.1,-0.08,-0.05,-0.04,-0.06,0.02,0.02,0.05,0.02,-0.03,-0.05,0.03,0.07,0.15,0.03,0.01,-0.04,0.03,-0.02,0.04,-0.23,0.14,-0.26,0.0,-0.05,0.08,-0.06,-0.03,0,1
9,0.02,-0.03,-0.01,-0.1,0.24,0.04,0.06,0.0,0.07,0.06,0.01,-0.04,-0.08,0.01,0.0,-0.2,0.06,0.1,-0.11,-0.06,0.01,-0.03,0.0,0.03,0.05,0.07,0.01,-0.05,0.01,0.02,0.02,-0.02,-0.02,0.09,0.0,-0.03,0.44,0.14,-0.04,-0.03,0.06,0.05,-0.03,0.05,0.0,0.03,-0.01,-0.02,0.02,0.0,0.05,0.0,0.14,0.0,0.01,0.02,0.07,0.01,0.0,-0.01,0.04,-0.02,-0.06,0.0,-0.1,0.04,0.0,0.09,0.01,0.05,-0.04,0.0,-0.09,0.07,0.02,0.05,-0.68,0.06,-0.1,0.15,0.02,0.04,-0.02,-0.01,0.03,0.07,-0.01,-0.14,-0.02,0.01,-0.06,0.19,0.08,1,1
10,0.02,0.01,0.03,0.0,0.06,-0.02,0.07,0.0,0.13,0.04,-0.02,0.05,0.04,0.0,-0.02,-0.06,0.03,-0.04,0.09,0.0,-0.01,0.04,-0.13,-0.07,0.01,0.0,0.07,0.02,0.01,0.05,-0.02,0.0,0.01,0.06,0.01,0.02,-0.01,0.13,-0.01,0.04,0.01,-0.09,0.0,0.03,0.02,0.17,0.08,0.04,-0.13,0.01,0.01,0.0,0.07,-0.02,-0.04,0.02,-0.01,0.04,0.01,0.01,0.11,-0.02,0.03,0.13,0.07,0.1,0.02,0.06,-0.05,-0.03,-0.08,0.03,0.08,0.01,0.02,-0.01,0.08,0.11,0.03,0.07,0.0,0.05,-0.04,0.16,0.0,0.4,0.02,-0.1,0.03,-0.01,0.05,-0.07,0.0,1,0
11,0.01,-0.04,-0.05,0.05,-0.09,0.17,-0.12,0.0,0.56,0.12,0.06,-0.07,0.17,0.01,-0.03,0.01,0.07,0.09,-0.1,-0.01,0.0,0.12,-0.09,-0.04,0.07,-0.02,-0.05,-0.05,0.01,0.13,-0.04,-0.03,0.06,-0.03,0.01,-0.05,-0.26,0.27,0.07,-0.05,-0.14,0.04,-0.04,-0.1,0.01,0.08,0.03,0.07,0.05,0.0,-0.03,-0.06,0.08,-0.01,0.06,0.01,0.03,0.05,-0.02,0.05,-0.28,-0.02,-0.07,-0.03,-0.23,0.05,0.04,0.05,0.01,0.02,-0.06,-0.04,-0.15,-0.09,0.01,0.01,-0.21,0.0,-0.07,-0.02,-0.02,-0.04,-0.06,0.11,-0.06,0.25,-0.06,0.02,-0.04,0.0,-0.05,0.1,-0.06,0,1
12,0.01,-0.01,-0.02,0.05,-0.13,0.16,-0.02,0.0,-0.19,-0.04,-0.03,0.03,-0.08,-0.01,-0.01,0.18,0.04,0.04,0.03,-0.01,0.0,0.08,0.07,0.01,-0.06,-0.05,-0.02,-0.02,0.0,0.02,-0.06,0.0,-0.04,0.01,0.01,0.03,-0.59,0.12,0.0,0.01,-0.05,-0.01,-0.01,0.09,-0.03,-0.03,0.04,0.0,0.09,-0.01,0.02,0.02,0.0,0.0,0.03,0.0,0.09,0.09,0.02,0.03,0.23,0.01,0.0,-0.03,-0.03,0.01,0.01,0.06,-0.01,0.06,-0.04,-0.01,0.08,0.0,0.01,0.02,-0.03,-0.08,0.1,-0.14,0.0,0.03,0.0,-0.09,-0.01,-0.03,0.05,-0.13,0.03,0.02,0.01,0.12,-0.01,1,1
13,0.03,0.0,0.0,0.04,0.18,0.22,0.0,-0.01,-0.23,0.07,0.0,0.03,-0.12,0.0,0.05,0.17,0.02,0.09,-0.04,0.03,0.01,0.04,0.06,0.11,0.17,0.06,-0.05,-0.03,-0.01,-0.06,-0.03,-0.01,-0.01,-0.01,-0.01,-0.01,-0.03,-0.2,0.01,-0.02,0.02,0.07,-0.01,-0.11,-0.04,-0.25,-0.03,-0.04,0.12,-0.01,0.04,0.0,0.03,0.02,0.09,0.01,0.17,0.11,0.01,0.05,0.01,0.02,-0.02,-0.09,-0.03,-0.02,0.01,0.04,0.09,0.13,0.13,0.01,-0.09,0.0,0.02,0.05,0.22,0.0,0.08,0.01,0.02,0.03,0.01,-0.05,0.01,-0.24,0.05,0.19,-0.07,0.02,-0.04,0.04,0.04,1,0
14,0.01,0.01,0.06,0.01,-0.03,0.0,0.13,0.0,-0.76,0.09,-0.05,0.15,-0.3,0.0,0.0,0.07,0.06,0.06,0.04,0.06,-0.01,0.0,0.02,-0.05,-0.09,0.06,0.0,0.02,0.0,-0.09,0.01,0.03,-0.01,0.03,0.01,0.04,-0.03,-0.16,-0.04,0.05,0.14,0.0,0.0,0.09,0.03,-0.14,-0.03,-0.01,0.07,0.0,0.06,0.02,0.02,0.0,0.04,0.03,0.18,0.05,0.0,0.02,0.0,0.03,0.01,-0.02,0.07,-0.03,0.03,-0.02,0.06,0.07,0.11,0.03,0.0,0.08,0.0,0.04,0.0,-0.02,0.08,-0.08,0.03,0.08,0.02,0.02,0.03,0.02,0.04,-0.09,0.02,0.05,-0.01,-0.04,0.05,0,0
15,-0.01,-0.04,-0.04,0.0,-0.13,0.08,0.03,-0.01,-0.03,-0.01,-0.01,-0.05,0.0,-0.01,-0.02,-0.11,-0.08,-0.03,-0.12,0.09,-0.03,-0.05,0.01,0.02,-0.11,-0.09,0.07,0.01,0.01,-0.05,-0.04,-0.01,0.0,-0.01,0.0,0.02,0.02,-0.22,-0.03,0.03,-0.04,-0.06,-0.02,-0.15,0.01,-0.02,-0.01,-0.03,-0.07,0.01,-0.01,-0.05,-0.17,-0.01,-0.05,0.0,0.06,-0.06,0.01,-0.13,-0.2,0.0,0.01,0.03,0.05,-0.09,-0.04,-0.09,0.04,-0.02,0.08,0.01,-0.01,0.03,-0.01,-0.07,0.13,0.45,-0.08,0.0,0.0,-0.04,0.01,0.01,-0.02,-0.03,-0.07,0.29,-0.02,-0.03,-0.04,-0.21,0.0,0,0
16,-0.04,-0.03,-0.06,-0.01,-0.07,0.01,-0.05,0.0,-0.05,-0.21,0.0,0.02,-0.02,0.0,-0.03,-0.17,-0.06,-0.13,-0.12,0.05,0.01,-0.04,0.0,-0.09,-0.22,-0.11,0.02,-0.01,0.01,0.02,0.01,0.0,-0.02,0.02,0.01,0.04,-0.02,-0.14,-0.04,0.03,-0.1,-0.04,0.01,-0.01,0.08,0.06,-0.04,0.0,-0.04,0.01,0.01,-0.01,-0.14,0.0,-0.09,0.05,-0.05,-0.06,-0.01,-0.04,0.03,0.02,0.02,-0.05,0.0,-0.06,-0.03,-0.08,-0.06,-0.11,-0.03,-0.02,0.09,0.11,-0.04,-0.03,-0.05,0.28,-0.03,-0.08,-0.02,-0.05,0.0,-0.02,-0.01,-0.13,-0.03,-0.08,0.08,-0.02,0.08,0.02,0.02,0,0
17,-0.04,0.0,-0.09,-0.06,-0.05,-0.13,0.02,0.0,0.01,-0.25,0.02,-0.08,0.09,0.0,-0.02,-0.13,-0.04,-0.2,-0.12,0.0,-0.01,-0.1,-0.07,0.0,-0.03,-0.07,-0.07,0.0,0.0,0.01,0.02,-0.01,0.01,-0.07,-0.01,0.07,0.0,0.0,-0.01,0.03,-0.1,-0.04,0.02,-0.03,0.08,0.01,-0.01,0.06,-0.07,0.02,0.03,0.04,-0.1,-0.01,-0.01,0.02,-0.1,-0.07,0.01,-0.03,-0.12,0.0,0.04,0.05,0.04,-0.02,-0.04,-0.09,-0.09,-0.14,-0.04,0.03,0.12,0.12,-0.03,-0.04,-0.08,0.08,-0.05,0.02,0.0,-0.06,-0.02,-0.08,0.03,-0.05,-0.06,0.12,0.06,-0.04,0.05,-0.12,0.03,0,1
18,-0.01,0.01,0.01,0.0,0.03,-0.29,0.01,0.0,-0.01,-0.31,0.03,0.03,0.0,0.01,-0.03,-0.2,0.0,-0.17,-0.01,-0.05,-0.01,-0.03,-0.11,-0.03,0.12,-0.01,-0.04,-0.01,0.01,0.02,-0.01,-0.02,0.02,-0.08,-0.01,0.02,-0.03,-0.05,0.0,-0.03,0.01,0.13,0.02,-0.03,0.07,-0.01,-0.01,0.05,-0.1,0.0,0.05,0.02,0.05,0.0,-0.05,0.03,-0.18,-0.13,-0.03,0.06,-0.07,-0.04,0.08,-0.04,-0.07,0.08,-0.03,-0.04,-0.05,-0.15,-0.03,0.02,0.02,0.0,-0.02,-0.03,-0.14,-0.41,0.02,-0.02,0.0,-0.08,0.01,0.0,0.04,-0.07,0.03,-0.15,0.04,0.0,0.05,-0.07,0.06,1,1
19,0.04,0.01,0.04,0.02,-0.06,-0.15,-0.02,0.0,-0.01,-0.1,0.04,0.05,-0.03,0.0,0.0,-0.2,0.05,-0.05,0.0,-0.03,-0.02,0.01,0.08,0.01,-0.04,0.0,0.03,0.02,0.01,0.05,-0.05,0.0,0.02,-0.15,-0.02,-0.02,0.03,0.33,0.0,0.0,0.05,0.07,-0.02,-0.08,0.0,-0.03,0.03,-0.01,-0.04,0.03,0.01,0.03,-0.01,-0.02,0.01,-0.04,-0.22,-0.18,-0.02,0.03,-0.07,-0.09,0.05,0.15,-0.07,0.01,0.01,-0.01,0.0,-0.13,-0.02,0.03,-0.03,-0.14,-0.04,-0.09,-0.28,-0.26,-0.1,0.04,-0.01,-0.2,0.02,-0.05,0.03,0.16,-0.03,0.07,0.02,0.01,-0.06,-0.14,-0.01,1,1
20,-0.02,0.0,0.03,0.1,-0.01,-0.06,-0.02,0.0,0.01,-0.14,0.06,0.0,-0.1,0.0,0.0,-0.21,-0.01,0.04,0.12,-0.01,-0.02,0.01,-0.15,-0.03,-0.01,-0.07,0.04,0.03,0.01,0.02,0.02,-0.02,-0.01,-0.11,0.0,-0.02,0.01,-0.05,0.01,0.02,0.01,0.0,0.0,-0.3,-0.03,0.0,0.02,0.0,-0.13,0.0,-0.01,-0.03,0.03,0.02,-0.11,-0.02,-0.29,-0.23,-0.01,0.02,-0.03,-0.06,0.01,0.0,-0.14,-0.08,0.04,0.05,0.06,-0.16,-0.07,0.02,0.03,-0.08,-0.02,-0.02,0.17,0.05,-0.04,0.07,-0.05,-0.3,0.04,0.0,0.01,-0.11,-0.02,0.05,0.0,0.01,-0.02,0.12,0.05,1,1
21,-0.01,0.0,0.0,0.05,0.02,-0.05,-0.07,0.0,0.01,0.11,0.03,-0.06,-0.05,-0.01,-0.01,-0.22,0.01,-0.01,0.08,0.01,0.01,0.03,-0.06,0.01,-0.12,0.0,0.05,0.04,0.0,0.08,-0.02,0.0,0.02,-0.09,0.0,0.03,0.07,0.04,0.07,0.07,-0.01,0.0,0.01,0.06,0.0,0.02,0.03,0.04,-0.07,0.02,0.0,0.03,-0.01,0.01,0.0,-0.05,-0.25,-0.2,0.0,-0.1,-0.08,-0.04,0.0,0.06,-0.03,-0.02,0.05,-0.01,-0.01,-0.13,-0.07,0.02,0.04,0.06,-0.01,-0.03,0.19,0.1,0.0,0.08,-0.03,-0.25,-0.01,-0.01,-0.01,0.28,-0.04,0.0,0.04,0.0,-0.04,-0.11,-0.01,1,0
22,-0.02,-0.01,-0.05,-0.01,-0.12,-0.14,0.07,0.0,0.03,0.01,0.03,-0.11,-0.02,0.0,0.0,-0.1,-0.03,-0.01,0.11,-0.06,-0.03,-0.02,-0.11,-0.01,0.02,-0.02,0.01,0.04,0.0,0.05,0.0,-0.02,0.0,-0.07,0.02,0.05,-0.05,-0.18,0.03,0.02,0.04,0.05,0.02,0.06,0.0,-0.03,-0.02,0.14,-0.09,-0.02,0.02,-0.02,0.07,0.01,-0.03,-0.03,-0.12,-0.16,0.01,-0.07,-0.06,-0.01,0.02,-0.13,0.05,-0.01,-0.01,0.0,-0.04,-0.05,-0.1,0.02,0.03,0.11,-0.01,0.01,-0.09,-0.04,0.21,-0.05,-0.02,-0.03,0.01,0.12,-0.01,0.04,-0.04,-0.21,0.04,-0.01,-0.01,-0.12,0.07,0,0
23,0.02,0.0,-0.01,-0.06,-0.08,-0.1,-0.13,0.0,-0.06,-0.05,-0.02,-0.01,-0.02,0.0,0.05,-0.13,-0.05,-0.06,-0.03,0.0,0.05,0.0,0.08,0.02,-0.04,0.0,-0.03,0.05,0.0,0.03,-0.07,0.01,-0.02,-0.07,0.01,0.02,-0.07,-0.14,0.03,0.03,0.08,0.0,0.0,0.09,0.05,0.01,0.02,0.01,-0.05,0.02,0.02,0.01,-0.01,-0.01,0.08,-0.01,-0.03,-0.06,0.01,-0.05,0.19,-0.02,0.07,-0.09,0.07,0.07,-0.02,0.03,-0.07,0.0,-0.03,-0.01,-0.02,0.1,0.0,-0.03,-0.22,-0.08,0.23,-0.05,0.01,0.01,0.03,0.13,0.01,0.05,0.04,-0.06,0.08,0.0,-0.01,-0.25,-0.08,0,0
24,0.02,0.02,-0.02,-0.01,-0.02,-0.05,0.06,0.0,-0.01,0.1,0.02,0.05,0.01,0.01,0.01,0.04,-0.04,0.08,-0.05,0.03,0.06,-0.01,0.08,-0.02,0.01,0.02,-0.02,0.01,-0.02,0.0,0.04,0.0,-0.04,-0.04,0.02,-0.03,-0.02,0.27,-0.06,0.02,0.02,-0.04,0.0,-0.09,0.01,-0.04,-0.02,-0.01,-0.03,0.0,-0.02,-0.01,0.13,0.02,0.01,0.01,0.03,-0.03,0.0,0.09,0.07,0.0,-0.01,-0.06,0.1,-0.04,-0.02,0.08,0.02,0.0,0.03,0.01,-0.05,0.03,-0.03,0.01,0.0,-0.14,-0.04,-0.07,-0.02,0.14,0.03,0.12,0.04,-0.05,0.01,0.23,-0.04,0.03,-0.07,0.07,0.0,0,0
25,0.0,0.01,0.02,0.07,0.06,-0.04,-0.04,0.0,-0.03,0.03,0.01,0.07,0.02,0.0,0.0,0.0,-0.02,-0.02,-0.04,0.04,0.0,0.0,-0.09,-0.08,0.04,0.01,0.04,-0.04,0.01,-0.04,0.04,0.0,0.02,0.0,0.02,-0.02,0.03,0.04,-0.01,0.03,-0.02,-0.06,0.02,-0.02,-0.02,0.03,0.03,-0.03,-0.01,0.01,-0.03,0.04,0.01,0.01,0.01,0.03,-0.01,0.03,0.0,-0.02,-0.05,-0.01,-0.04,0.0,0.05,0.06,0.0,0.08,-0.01,-0.04,0.01,0.0,-0.03,-0.02,0.06,-0.02,0.11,0.02,-0.21,0.15,-0.01,0.0,0.05,-0.03,0.03,-0.21,0.01,0.02,-0.04,0.04,-0.03,0.04,-0.07,0,0
